// describing people
I'm good at that			Sono bravo in questo
You're a weird guy			Sei un tipo strano
I am half Greek				Sono per meta\ greco
She's from Abruzzo, I believe.	E\ abruzzese, credo.
Viola, on the other hand		Viola, invece

// describing people
What do you study?			Cosa studi?
Political science			Scienze politiche
Roman law					Diritto romano
I have an italian class in an hour		Ho lezione di italiano fra un'ora.
This is your first lesson.				Questa e\ la tua prima lezione.

// additional vocab
It's here, right?			E\ qui, giusto?
What's wrong?				Che cosa c'e\?
What time is it there now?	Che ora e\ li\ adesso?
Making a good coffee is not easy	Fare un buon caffe\ non e\ facile
Come on, don't worry		Su, non ti preoccupare
Good luck					In bocca al lupo
Thanks						Crepi
Take care of yourself		Mi raccomando.
